title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking
1 BHK Apartment for Sale in Basavanagara Bangalore,₹28 Lac,475 sqft,https://www.magicbricks.com/jana-jeeva-apartments-basavanagara-bangalore-pdpid-4d4235313930353433,1,21,2025-08-10 19:20:57.225701,Updated today,2025-08-10 12:00:00.000000,1,1,1 BHK,Semi-Furnished,1 out of 4,,Jana Jeeva Apartments,Ready to Move,East,,Freehold,Resale,
2 BHK Apartment for Sale in Pulikeshi Nagar Bangalore,₹1.20 Cr,1100 sqft,https://www.magicbricks.com/greenland-shelter-frazer-town-bangalore-pdpid-4d4235303531333136,1,22,2025-08-10 19:20:57.227461,Updated today,2025-08-10 12:00:00.000000,2,3,2 BHK,Unfurnished,3 out of 4,,Greenland Shelter,Ready to Move,East,,Freehold,Resale,Main Road
3 BHK Apartment for Sale in RK Hegde Nagar Bangalore,₹95 Lac,1300 sqft,https://www.magicbricks.com/kempe-gowda-layout-hegde-nagar-bangalore-pdpid-4d4235343035333033,1,24,2025-08-10 19:20:57.229635,Posted:   Yesterday,2025-08-09 12:00:00.000000,3,,3 BHK,Semi-Furnished,4 out of 5,,Kempe gowda layout,Ready to Move,,,,Resale,
Plot/Land for Sale in Yelahanka Bangalore,₹1.30 Cr,1500 sqft,https://www.magicbricks.com/vaishnavi-life-yelahanka-bangalore-pdpid-4d4235333235363637,1,26,2025-08-10 19:20:57.233895,Updated today,2025-08-10 12:00:00.000000,,,Plot,,,,Vaishnavi Life,,22 m,,Freehold,Resale,"Garden/Park, Main Road"
3 BHK  House for Sale in Kalkere Bangalore,₹1.60 Cr,2160 sqft,https://www.magicbricks.com/sankalpa-green-park-kalkere-bangalore-pdpid-4d4235303237303235,1,27,2025-08-10 19:20:57.236018,Updated today,2025-08-10 12:00:00.000000,3,2,3 BHK,Furnished,1 out of 2,,Sankalpa Green Park,Ready to Move,North,"1 Covered,",Freehold,Resale,"Main Road, Garden/Park"
"3 BHK Apartment for Sale in Kundalahalli, Brookefield Bangalore",₹1.20 Cr,1500 sqft,https://www.magicbricks.com/prism-sovereign-kundalahalli-bangalore-pdpid-4d4235303339373239,1,28,2025-08-10 19:20:57.238369,Updated today,2025-08-10 12:00:00.000000,3,3,3 BHK,Semi-Furnished,1 out of 4,,Prism Sovereign,Ready to Move,South,1 Covered,Freehold,Resale,"Garden/Park, Main Road"
3 BHK Apartment for Sale in Block 6th Stage 6th Banashankari Bangalore,₹1.50 Cr,1420 sqft,https://www.magicbricks.com/sobha-hillview-banashankari-6th-stage-6th-block-bangalore-pdpid-4d4235303036343334,1,29,2025-08-10 19:20:57.240409,Updated today,2025-08-10 12:00:00.000000,2,2,3 BHK,Furnished,4 out of 14,,Sobha Hillview,Ready to Move,South - East,,Freehold,New Property,"Pool, Garden/Park"
"3 BHK Villa for Sale in Vajarahalli, Vajarahalli Bangalore",₹1.80 Cr,1400 sqft,https://www.magicbricks.com/bluejay-malgudi-vajarahalli-bangalore-pdpid-4d4235303933343235,1,30,2025-08-10 19:20:57.242083,Updated today,2025-08-10 12:00:00.000000,3,1,3 BHK,Semi-Furnished,,,Bluejay Malgudi,Ready to Move,East,,Freehold,Resale,Main Road
2 BHK Apartment for Sale in Chikkavaderapura Bangalore,₹1.51 Cr,1256 sqft,https://www.magicbricks.com/abhee-celestial-city-chikkavaderapura-bangalore-pdpid-4d4235343137383235,2,4,2025-08-10 19:21:01.819594,Updated today,2025-08-10 12:00:00.000000,2,1,2 BHK,Unfurnished,18 out of 26,,Abhee Celestial City,,East,"1 Covered,",Freehold,Resale,"Garden/Park, Pool, Main Road"
2 BHK Apartment for Sale in Attibele Bangalore,₹40.7 Lac,704 sqft,https://www.magicbricks.com/dsmax-sarovar-attibele-bangalore-pdpid-4d4235303236313032,2,10,2025-08-10 19:21:01.825075,Updated today,2025-08-10 12:00:00.000000,2,2,2 BHK,Unfurnished,2 out of 3,,DSMAX SAROVAR,Ready to Move,East,1 Covered,,Resale,
3 BHK Apartment for Sale in Phase 7 JP Nagar Bangalore,₹1.26 Cr,1230 sqft,https://www.magicbricks.com/shivaganga-opal-jp-nagar-phase-7-bangalore-pdpid-4d4235303239333836,2,12,2025-08-10 19:21:01.827696,Updated today,2025-08-10 12:00:00.000000,2,2,3 BHK,Furnished,4 out of 5,,Shivaganga Opal,Ready to Move,East,,Freehold,Resale,Main Road
2 BHK Apartment for Sale in Gunjur Bangalore,₹1.36 Cr,1000 sqft,https://www.magicbricks.com/abhee-aaria-gunjur-bangalore-pdpid-4d4235343239303739,2,15,2025-08-10 19:21:01.831468,Updated today,2025-08-10 12:00:00.000000,3,3,2 BHK,Unfurnished,19 out of 32,,Abhee Aaria,,East,,Freehold,Resale,Garden/Park
2 BHK Apartment for Sale in Sarjapur Road Bangalore,₹47.5 Lac,1078 sqft,https://www.magicbricks.com/sowparnika-chandrakantha-sarjapur-road-bangalore-pdpid-4d4235303036343139,2,16,2025-08-10 19:21:01.833109,Updated 16 hours ago,2025-08-10 03:21:01.832131,2,2,2 BHK,Semi-Furnished,1 out of 5,,Sowparnika Chandrakantha,Ready to Move,West,,Freehold,Resale,
"2 BHK Apartment for Sale in Jalahalli, Jalahalli, Outer Ring Road Bangalore",₹73 Lac,1020 sqft,https://www.magicbricks.com/shriram-sameeksha-jalahalli-bangalore-pdpid-4d4235303138313630,2,18,2025-08-10 19:21:01.835490,Updated 16 hours ago,2025-08-10 03:21:01.834316,2,1,2 BHK,Semi-Furnished,7 out of 7,,Shriram Sameeksha,Ready to Move,West,,Freehold,Resale,Garden/Park
Plot/Land for Sale in Varthur Bangalore,₹1.50 Cr,1500 sqft,https://www.magicbricks.com/sankalpa-perl-varthur-bangalore-pdpid-4d4235303138353635,2,21,2025-08-10 19:21:01.837924,Updated 15 hours ago,2025-08-10 04:21:01.837058,,,Plot,,,,Sankalpa Perl,,,,Freehold,Resale,
4 BHK Penthouse for Sale in Whitefield Bangalore,₹3.69 Cr,4100 sqft,https://www.magicbricks.com/birla-alokya-whitefield-bangalore-pdpid-4d4235313235363835,2,22,2025-08-10 19:21:01.839778,Updated 15 hours ago,2025-08-10 04:21:01.838603,5,,4 BHK,Semi-Furnished,2 out of 3,,Birla Alokya,Ready to Move,East,2 Covered,,Resale,"Garden/Park, Main Road"
