title,price,price_per_sqft,carpet_area,super_area,area,bedrooms,bathrooms,floor,age,furnishing,property_type,locality,society,builder,possession,parking,facing,amenities,description,agent_name,agent_contact,property_url,image_urls,latitude,longitude,posted_date,property_id
Studio Apartment for Sale in Sector 71 Gurgaon,"₹1.16 Cr₹15,283 per sqft",,,,759,,,,,Unfurnished,Studio Apartment for Sale in Sector 71 Gurgaon,Sector 71,,,,,,,,,,https://www.magicbricks.com/m3m-broadway-sector-71-gurgaon-pdpid-4d4235313231323633,,,,,4235313231323633
4 BHK Builder Floor for Sale in Sector 92 Gurgaon,"₹3.30 Cr₹11,000 per sqft",,,,2700,4,,,,Unfurnished,4 BHK Builder Floor for Sale in Sector 92 Gurgaon,Sector 92,,,,,,,,,,https://www.magicbricks.com/dlf-garden-city-floors-sector-92-gurgaon-pdpid-4d4235323332313533,,,,,4235323332313533
3 BHK Builder Floor for Sale in Golf Course Extension Road Gurgaon,"₹3.30 Cr₹23,913 per sqft",,,,1380,3,,,,Unfurnished,3 BHK Builder Floor for Sale in Golf Course Extension Road Gurgaon,Golf Course Extension,,,,,,,,,,https://www.magicbricks.com/emerald-floor-jemma-golf-course-extension-road-gurgaon-pdpid-4d4235313930363639,,,,,4235313930363639
3 BHK Apartment for Sale in Sector 49 Gurgaon,"₹4.70 Cr₹23,256 per sqft",,,,2021,3,,30,,Unfurnished,3 BHK Apartment for Sale in Sector 49 Gurgaon,Sector 49,,,,,,,,,,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,,,,,4235343138383333
3 BHK Apartment for Sale in Sector 69 Gurgaon,"₹2.40 Cr₹14,085 per sqft",,,,1034,3,,26,,Unfurnished,3 BHK Apartment for Sale in Sector 69 Gurgaon,Sector 69,,,,,,,,,,https://www.magicbricks.com/tulip-yellow-sector-69-gurgaon-pdpid-4d4235313330303431,,,,,4235313330303431
4 BHK Apartment for Sale in Sector 103 Gurgaon,"₹2.95 Cr₹10,261 per sqft",,,,1800,4,,,,Unfurnished,4 BHK Apartment for Sale in Sector 103 Gurgaon,Sector 103,,,,,,,,,,https://www.magicbricks.com/indiabulls-centrum-park-sector-103-gurgaon-pdpid-4d4235303030383737,https://img.staticmb.com/mbphoto/property/cropped_images/2025/Apr/23/Photo_h300_w450/78892203_7_PropertyImage1745391407149_300_450.jpg,,,,4235303030383737
4 BHK Apartment for Sale in Phase 3 DLF Gurgaon,"₹6.50 Cr₹14,444 per sqft",,,,3500,4,,,,Semi Furnished,4 BHK Apartment for Sale in Phase 3 DLF Gurgaon,,,,,,,,,,,https://www.magicbricks.com/dlf-10a-dlf-phase-3-gurgaon-pdpid-4d4235333139303133,https://img.staticmb.com/mbphoto/property/cropped_images/2025/Mar/03/Photo_h300_w450/78073241_1_PropertyImage220-01794835819143_300_450.jpg,,,,4235333139303133
"4 BHK Apartment for Sale in Sector 76, Delhi Gurgaon Expressway Gurgaon","₹7.23 Cr₹20,220 per sqft",,,,3577,4,,30,,Unfurnished,"4 BHK Apartment for Sale in Sector 76, Delhi Gurgaon Expressway Gurgaon",,,,,,,,,,,https://www.magicbricks.com/dlf-privana-west-sector-76-gurgaon-pdpid-4d4235303733353631,,,,,4235303733353631
Studio Apartment for Sale in Sector 57 Gurgaon,"₹1.69 Cr₹14,000 per sqft",,,,12100,1,,26,,Unfurnished,Studio Apartment for Sale in Sector 57 Gurgaon,Sector 57,,,,,,,,,,https://www.magicbricks.com/m3m-paragon-57-sector-57-gurgaon-pdpid-4d4235333930323739,,,,,4235333930323739
Plot/Land for Sale in Sector 91 Gurgaon,"₹10.10 Cr₹22,355 per sqft",,,,4518,,,,,,Plot/Land for Sale in Sector 91 Gurgaon,Sector 91,,,,,,,,,,https://www.magicbricks.com/dlf-gardencity-sector-91-gurgaon-pdpid-4d4235303232373133,,,,,4235303232373133
