title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
2 BHK Apartment for Sale in Bhayandar West Mumbai,1 Cr,648 sqft,https://www.magicbricks.com/shiv-darshan-tower-bhayandar-west-mumbai-pdpid-4d4235323239333431,2,13,2025-08-12 11:08:53.022952,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,2 BHK,Furnished,3 out of 7,,Shiv Darshan Tower,Ready to Move,,,,Resale,,84.2,[],True
2 BHK Apartment for Sale in Bhandup East Mumbai,2 Cr,720 sqft,https://www.magicbricks.com/akashdeep-apartment-bhandup-east-mumbai-pdpid-4d4235323239323937,2,14,2025-08-12 11:08:53.024368,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,2 BHK,Unfurnished,1 out of 7,,Akashdeep Apartment,Ready to Move,,,,Resale,,84.2,[],True
2 BHK Apartment for Sale in Vikhroli East Mumbai,1.30 Cr,455 sqft,https://www.magicbricks.com/swastik-pearl-vikhroli-east-mumbai-pdpid-4d4235323239323737,2,15,2025-08-12 11:08:53.025529,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,2 BHK,Unfurnished,12 out of 24,,Swastik Pearl,,,,,Resale,,78.9,[],True
1 BHK Apartment for Sale in Matunga East Mumbai,1.40 Cr,396 sqft,https://www.magicbricks.com/usha-apartment-matunga-east-mumbai-pdpid-4d4235323239303131,2,16,2025-08-12 11:08:53.026850,Posted: Yesterday,2025-08-11 12:00:00.000000,1,,1 BHK,Semi-Furnished,3 out of 3,,Usha Apartment,Ready to Move,,,,Resale,,84.2,[],True
2 BHK Apartment for Sale in Kandivali East Mumbai,1.05 Cr,522 sqft,https://www.magicbricks.com/gaurav-shikar-kandivali-east-mumbai-pdpid-4d4235323238363531,2,17,2025-08-12 11:08:53.028208,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,2 BHK,Semi-Furnished,8 out of 8,,Gaurav Shikar,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Borivali East Mumbai,1 Cr,422 sqft,https://www.magicbricks.com/goyal-koyana-borivali-east-mumbai-pdpid-4d4235323238363333,2,18,2025-08-12 11:08:53.029656,Posted: Yesterday,2025-08-11 12:00:00.000000,1,,1 BHK,Semi-Furnished,3 out of 3,,Goyal Koyana,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Daulat Nagar Borivali East Mumbai,1.01 Cr,497 sqft,https://www.magicbricks.com/jaliyan-heights-daulat-nagar-mumbai-pdpid-4d4235323238313239,2,19,2025-08-12 11:08:53.030914,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,1 BHK,Semi-Furnished,3 out of 18,,Jaliyan Heights,Ready to Move,,,,Resale,,84.2,[],True
2 BHK Apartment for Sale in Prem Nagar Goregaon West Mumbai,2.10 Cr,734 sqft,https://www.magicbricks.com/acme-complex-2a-prem-nagar-mumbai-pdpid-4d4235323238303831,2,20,2025-08-12 11:08:53.032149,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,2 BHK,Furnished,9 out of 15,,Acme Complex 2A,Ready to Move,,,,Resale,,84.2,[],True
3 BHK Apartment for Sale in Andheri East Mumbai,3.25 Cr,1053 sqft,https://www.magicbricks.com/dipti-bamanpuri-society-andheri-east-mumbai-pdpid-4d4235303433333038,2,21,2025-08-12 11:08:53.033685,Updated today,2025-08-12 12:00:00.000000,3,,3 BHK,Unfurnished,1 out of 7,,Dipti Bamanpuri Society,Ready to Move,East,1 Open,Co-operative Society,Resale,Main Road,105.3,[],True
1 BHK Apartment for Sale in Kandivali East Mumbai,78 Lac,360 sqft,https://www.magicbricks.com/enso-sanza-kandivali-east-mumbai-pdpid-4d4235323330313535,2,22,2025-08-12 11:08:53.034911,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,1 BHK,Unfurnished,10 out of 23,,Enso Sanza,,,,,Resale,,78.9,[],True
2 BHK Apartment for Sale in Bandra West Mumbai,3.50 Cr,648 sqft,https://www.magicbricks.com/poonam-apartment-bandra-west-mumbai-pdpid-4d4235323239343735,2,23,2025-08-12 11:08:53.036126,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,2 BHK,Furnished,Ground out of 6,,Poonam Apartment,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Vile Parle West Mumbai,2.25 Cr,622 sqft,https://www.magicbricks.com/umesh-kiran-apartment-vile-parle-west-mumbai-pdpid-4d4235323238393539,2,24,2025-08-12 11:08:53.037464,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,1 BHK,Unfurnished,1 out of 3,,Umesh Kiran Apartment,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Vile Parle East Mumbai,1.90 Cr,594 sqft,https://www.magicbricks.com/laxmi-palace-chs-vile-parle-east-mumbai-pdpid-4d4235323238393439,2,25,2025-08-12 11:08:53.038769,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,1 BHK,Furnished,5 out of 11,,Laxmi Palace CHS,Ready to Move,,,,Resale,,84.2,[],True
2 BHK Apartment for Sale in Mazgaon Mumbai,4.10 Cr,860 sqft,https://www.magicbricks.com/tata-housing-aashiana-mazgaon-mumbai-pdpid-4d4235323238333033,2,27,2025-08-12 11:08:53.040587,Posted: Yesterday,2025-08-11 12:00:00.000000,3,,2 BHK,Furnished,1 out of 10,,TATA Housing Aashiana,Ready to Move,,,,Resale,,84.2,[],True
2 BHK Apartment for Sale in Andheri West Mumbai,1.60 Cr,641 sqft,https://www.magicbricks.com/indian-ocean-chs-ltd-andheri-west-mumbai-pdpid-4d4235323237343135,2,28,2025-08-12 11:08:53.041889,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,2 BHK,Semi-Furnished,9 out of 16,,Indian Ocean CHS Ltd,Ready to Move,,,,Resale,,84.2,[],True
4 BHK Apartment for Sale in Malad West Mumbai,4.40 Cr,1022 sqft,https://www.magicbricks.com/laxmi-niwas-apartment-malad-west-mumbai-pdpid-4d4235323237313335,2,29,2025-08-12 11:08:53.043108,Posted: Yesterday,2025-08-11 12:00:00.000000,3,,4 BHK,Furnished,3 out of 16,,Laxmi Niwas Apartment,Ready to Move,,,,Resale,,84.2,[],True
3 BHK Apartment for Sale in Agashi Mumbai,50 Lac,698 sqft,https://www.magicbricks.com/m-baria-castle-view-apartment-agashi-mumbai-pdpid-4d4235323236393939,2,30,2025-08-12 11:08:53.044281,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,3 BHK,Unfurnished,1 out of 4,,M Baria Castle View Apartment,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Virar West Mumbai,26 Lac,381 sqft,https://www.magicbricks.com/unitechs-west-end-township-virar-west-mumbai-pdpid-4d4235323236383331,3,1,2025-08-12 11:08:56.861555,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,1 BHK,Unfurnished,3 out of 3,,Unitechs West End Township,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Kandivali East Mumbai,95 Lac,324 sqft,https://www.magicbricks.com/gokul-view-chs-kandivali-east-mumbai-pdpid-4d4235323236373635,3,2,2025-08-12 11:08:56.862934,Posted: Yesterday,2025-08-11 12:00:00.000000,1,,1 BHK,Furnished,Ground out of 7,,Gokul view CHS,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Kandivali East Mumbai,99 Lac,310 sqft,https://www.magicbricks.com/gokul-view-chs-kandivali-east-mumbai-pdpid-4d4235323236373635,3,3,2025-08-12 11:08:56.864507,Posted: Yesterday,2025-08-11 12:00:00.000000,1,,1 BHK,Semi-Furnished,5 out of 6,,Gokul view CHS,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Khar West Mumbai,53 Lac,371 sqft,https://www.magicbricks.com/pleasant-park-apartment-khar-west-mumbai-pdpid-4d4235323236373631,3,4,2025-08-12 11:08:56.865863,Posted: Yesterday,2025-08-11 12:00:00.000000,1,,1 BHK,Unfurnished,5 out of 7,,Pleasant Park Apartment,Ready to Move,,,,Resale,,84.2,[],True
3 BHK Apartment for Sale in Chembur Mumbai,3.65 Cr,907 sqft,https://www.magicbricks.com/bholenath-aryan-anchal-chembur-mumbai-pdpid-4d4235323236343433,3,5,2025-08-12 11:08:56.867165,Posted: Yesterday,2025-08-11 12:00:00.000000,3,,3 BHK,Semi-Furnished,5 out of 7,,Bholenath Aryan Anchal,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Goregaon East Mumbai,1.15 Cr,468 sqft,https://www.magicbricks.com/sadguru-complex-2-goregaon-east-mumbai-pdpid-4d4235323236343035,3,6,2025-08-12 11:08:56.868452,Posted: Yesterday,2025-08-11 12:00:00.000000,2,,1 BHK,Semi-Furnished,2 out of 8,,Sadguru Complex 2,Ready to Move,,,,Resale,,84.2,[],True
