title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
3 BHK Apartment for Sale in Surya Vihar Sector 21 Gurgaon,68.2 Lac,1900 sqft,,2,16,2025-08-13 10:20:07.623173,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
5 BHK Builder Floor for Sale in Surya Vihar Sector 21 Gurgaon,1.48 Cr,2500 sqft,https://www.magicbricks.com/mittal-surya-vihar-surya-vihar-sector-21-gurgaon-pdpid-4d4235303635383132,2,17,2025-08-13 10:20:07.624288,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],5,,5 BHK,Furnished,Read more,,Mittal Surya Vihar,Ready to Move,,,,Resale,,77.3,[],True
"Plot/Land for Sale in West Rajiv Nagar, Sector 12A Gurgaon",15.4 Lac,924 sqft,,2,18,2025-08-13 10:20:07.626765,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],,,Plot,,,,,,,,,Resale,,50.0,[],True
"5 BHK House for Sale in West Rajiv Nagar, Sector 12A Gurgaon",2.69 Cr,250 sqyrd,,2,19,2025-08-13 10:20:07.630052,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],5,,5 BHK,Unfurnished,,,,,,,,Resale,,59.1,[],True
"Plot/Land for Sale in Noble Enclave, Palam Vihar Extension, Old delhi gurgaon road Gurgaon",18.3 Lac,1098 sqft,,2,20,2025-08-13 10:20:07.632358,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],,,Plot,,,,,,,,,Resale,,50.0,[],True
3 BHK Builder Floor for Sale in DLF Cyber City Gurgaon,2.23 Cr,2500 sqft,https://www.magicbricks.com/dlf-city-plot-phase-2-cyber-city-gurgaon-pdpid-4d4235303934333039,2,21,2025-08-13 10:20:07.633491,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,Read more,,DLF City Plot Phase 2,Ready to Move,,,,Resale,,77.3,[],True
6 BHK House for Sale in DLF Cyber City Gurgaon,66.3 Lac,550 sqft,,2,22,2025-08-13 10:20:07.636024,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],6,,6 BHK,Unfurnished,,,,,,,,Resale,,59.1,[],True
7 BHK Builder Floor for Sale in Sector 25 Gurgaon,2.18 Cr,340 sqyrd,,2,23,2025-08-13 10:20:07.638401,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],4,,7 BHK,Furnished,Read more,,,,,,,Resale,,63.6,[],True
3 BHK Apartment for Sale in Sector 61 Gurgaon,3.10 Cr,1680 sqft,https://www.magicbricks.com/smartworld-orchard-sector-61-gurgaon-pdpid-4d4235333234323439,2,24,2025-08-13 10:20:07.639639,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],3,3,3 BHK,Semi-Furnished,1 out of 4,,Smartworld Orchard,Ready to Move,,,,Resale,,90.9,[],True
4 BHK Builder Floor for Sale in Sector 55 Gurgaon,3.41 Cr,230 sqyrd,,2,25,2025-08-13 10:20:07.642992,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],4,2,4 BHK,Unfurnished,4 out of 4,,,Ready to Move,South - East,,Freehold,Resale,"Garden/Park, Pool, Main Road",95.5,[],True
